"Código","Nombre oficial","Autor"
"43.04.02","Hieracio laevigati-Linarietum triornithophorae","Ladero, F. Navarro, C. Valle, Pérez Chiscano, M.T. Santos, Ruiz, M.I. Fernández, A. Valdés & F.J. González 1985"
"43.04.03","Omphalodo nitidae-Linarietum triornithophorae","Rivas-Martínez in Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"43.04.04","Trifolio medii-Lathyretum nigri","Mayor in Mayor, T.E. Díaz, F. Navarro, G. Martínez & J. Andrés 1975"
"43.04.05","Vicio sepium-Centaureetum carpetanae","Fernández-González & Sánchez-Mata in Sánchez-Mata 1989"
"43.05","Origanion virentis","Rivas-Martínez & O. Bolòs in Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"43.05.01","Calamintho baeticae-Galietum scabri","A.V. Pérez, Nieto & Cabezudo 1993"
"43.05.02","Cardaminetum caldeirari","Lüpnitz 1975"
"43.05.03","Clinopodio villosi-Origanetum virentis","Rivas-Martínez in Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"43.05.04","Elymo hispanici-Brachypodietum sylvatici","Gómez-Mercado & F. Valle 1991"
"43.05.05","Leucathemopsio flaveolae-Origanetum virentis","Marcos & A. Velasco 1987"
"43.05.06","Ranunculo adunci-Geranietum sylvatici","Ríos & Alcaraz 2002"
"43.05.07","Pimpinello villosae-Origanetum virentis","Ladero, F. Navarro, C. Valle, J.L. Pérez, M.T. Santos, Ruiz, M.I. Fernández, A. Valdés & F.J. González 1985"
"43.05.08","Veronico tenuifoliae-Origanetum virentis","Marcos & A. Velasco 1987"
"43.05.09","Vincetoxico nigri-Origanetum virentis","Ladero, F. Navarro, C. Valle, J.L. Pérez, M.T. Santos, Ruiz, M.I. Fernández, A. Valdés & F.J González 1985"
"43.05.10","Leucanthemo sylvatici-Cheirolophetum sempervirentis","J.C. Costa, Ladero, T.E. Díaz, Lousã, Espírito-Santo, Vasconcelos, Monteiro & Amor 1993"
"43.05.11","Senecioni lopezii-Cheirolophetum sempervirentis","Capelo 1996"
"43.06","Ranunculo cortusifolii-Geranion canariensis","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"43.06.01","Pericallido auritae-Geranietum palmatae","Capelo, J.C. Costa, Lousã, Fontinha, Jardim, Sequeira & Rivas-Martínez 2000"
"43.06.02","Ranunculo cortusifolii-Geranietum canariensis","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"43.06.03","Rumici maderensis-Pimpinelletum dendrotragii","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"44","Carici rupestris-Kobresietea bellardii","Ohba 1974"
"44.01","Oxytropido-Elynion","Br.-Bl. (1948) 1949"
"44.01.01","Elyno myosuroidis-Oxytropidetum lazicae","Chouard 1943"
"44.01.02","Elyno myosuroidis-Oxytropidetum halleri","(Br.-Bl. 1948). Küpfer 1974"
"44.01.03","Oxytropido pyrenaicae-Elynetum myosuroidis","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"45","Festuco-Seslerietea","Barbéro & Bonin 1969"
"45.01","Primulion intricatae","Br.-Bl. ex Vigo 1972"
"45.01.01","Festuco-Trifolietum thalii","Br.-Bl. 1948"
"45.01.02","Gentiano acaulis-Primuletum intricatae","Vigo 1972"
"45.01.03","Helictotricho sedenensis-Bellardiochloetum violaceae","Lazare & Mauric 1986"
"45.01.04","Primulo intricatae-Adonidetum pyrenaicae","Br.-Bl. ex Carrillo & Ninot 1992"
"45.01.05","Primulo intricatae-Horminetum pyrenaici","Lazare & Mauric 1986"
"45.01.06","Rhinantho-Rhaponticetum centauroidis","O. Bolòs 1970"
"45.02","Laserpitio nestleri-Ranunculion thorae","Vigo 1979"
"45.02.01","Agrostio schleicheri-Festucetum scopariae","Loidi 1983 corr. Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"45.02.02","Anthyllido vulnerarioidis-Festucetum nigrescentis","Ninot (1988) 1996"
"45.02.03","Aquilegio pyrenaicae-Seslerietum caeruleae","Herrera, Loidi & F. Prieto 1991"
"45.02.04","Geo pyrenaici-Caricetum sempervirentis","Chouard 1943"
"45.02.05","Dryado octopetalae-Salicetum pyrenaicae","Chouard 1943"
"45.02.06","Geranio cinerei-Ranunculetum gouanii","Gruber 1978"
"45.02.07","Ranunculo thorae-Seslerietum caeruleae","Vigo 1979"
"45.03","Armerion cantabricae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"45.03.01","Drabo lebrunii-Armerietum cantabricae","M.E. García, Penas, L. Herrero & T.E. Díaz in M.E. García, Penas & L. Herrero 1990"
"45.03.02","Pediculari comosae-Caricetum sempervirentis","T.E. Díaz & F. Prieto 1994"
"45.03.03","Pediculari fallacis-Armerietum cantabricae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"46","Caricetea curvulae","Br.-Bl. 1948"
"46.01","Festucion supinae","Br.-Bl. 1948"
"46.01.01","Arenario grandiflorae-Festucetum durissimae","Baudière & Serve 1975"
"46.01.02","Hieracio pumili-Festucetum supinae","Br.-Bl. 1948"
"46.01.03","Oreochloo blankae-Caricetum curvulae","Rivas-Martínez 1974 corr. Rivas-Martínez & Géhu 1978"
"46.01.04","Sempervivo montani-Arenarietum moehringioidis","Nègre 1968"
"46.02","Festucion eskiae","Br.-Bl. 1948"
"46.02.01","Campanulo rectae-Festucetum eskiae","Br.-Bl. 1948"
"46.02.02","Carici graniticae-Festucetum eskiae","Rivas-Martínez 1974"
"46.02.03","Hieracio hoppeani-Festucetum paniculatae","Br.-Bl. 1948 corr. Rivas-Martínez 1974"
"46.03","Androsacion ciliatae","Rivas-Martínez 1988"
"46.03.01","Alsino cerastiifoliae-Androsacetum ciliatae","Chouard 1943"
"46.03.02","Minuartio sedoidis-Androsacetum ciliatae","Rivas-Martínez 1988"
"46.03.03","Saxifrago bryoidis-Minuartietum sedoidis","Carrillo & Ninot 1989"
"47","Loiseleurio-Vaccinietea","Eggler ex Schubert 1960"
"47.01","Loiseleurio-Vaccinion","Br.-Bl. in Br.-Bl. & Jenny 1926"
"47.01.01","Carici curvulae-Empetretum hermaphroditi","Rivas-Martínez (1968) 1987"
"47.01.02","Luzulo luteae-Loiseleurietum procumbentis","(Rivas-Martínez 1968) Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"47.01.03","Salici pyrenaicae-Arctostaphyletum alpini","Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"48","Salicetea herbaceae","Br.-Bl. 1948"
"48.01","Salicion herbaceae","Br.-Bl. in Br.-Bl. & Jenny 1926"
"48.01.01","Alchemillo fissae-Luzuletum candollei","Rivas-Martínez, Costa & P. Soriano 2002"
"48.01.02","Anthelio juratzkanae-Salicetum herbaceae","Br.-Bl. 1948"
"48.01.03","Carici pyrenaicae-Cardaminetum alpinae","(Rivas-Martínez 1969) Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991"
"48.01.04","Cerastio trigyni-Mniobryetum albicantis","Nègre 1972"
"48.01.05","Polytrichetum sexangularis","Br.-Bl. in Br.-Bl. & Jenny 1926"
"48.02","Arabidion caeruleae","Br.-Bl. in Br.-Bl. & Jenny 1926"
"48.02.01","Carici parviflorae-Salicetum retusae","Rivas-Martínez 1969"
"48.02.02","Potentillo dubiae-Gnaphalietum hoppeani","Br.-Bl. 1948"
"48.02.03","Ranunculo leroyi-Gnaphalietum hoppeani","T.E. Díaz & Nava 1991"
"48.03","Mucizonion sedoidis","Rivas-Martínez, Fernández-González & Loidi 1999"
"48.03.01","Gnaphalio supini-Sedetum candollei","Br.-Bl. 1948"
"48.03.02","Omalotheco pusillae-Lepidietum stylati","Martínez-Parras, Peinado & Alcaraz 1987"
"48.03.03","Sedo candollei-Gnaphalietum pusilli","Rivas-Martínez ex Rivas-Martínez, Fernández-González & Loidi 1999"
"49","Festucetea indigestae","Rivas Goday & Rivas-Martínez 1971"
"49.01","Ptilotrichion purpurei","Quézel 1953"
"49.01.01","Erigeronto frigidi-Festucetum clementei","Quézel 1953"
"49.01.02","Festucetum moleroio-pseudoeskiae","Quézel 1953"
"49.01.03","Galio pyrenaici-Trisetetum glacialis","Martínez-Parras, Peinado & Alcaraz 1997"
"49.01.04","Cirsio gregarii-Dactyletum juncinellae","Molero & J. López 2002"
"49.01.05","Sideritido glacialis-Arenarietum pungentis","Quézel 1953"
"49.02","Minuartio-Festucion curvifoliae","Rivas-Martínez 1964 corr. Rivas-Martínez, Fernández-González & Loidi 1999"
"49.02.01","Agrostio rupestris-Armerietum bigerrensis","Rivas-Martínez in Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"49.02.02","Antennario dioicae-Festucetum curvifoliae","Rivas-Martínez 1987"
"49.02.03","Armerio microcephalae-Festucetum aragonensis","(Rivas-Martínez & G. Navarro in G. Navarro 1989) Rivas-Martínez, Cantó & Sánchez-Mata 2002"
"49.02.04","Hieracio myriadeni-Festucetum curvifoliae","Rivas-Martínez 1964 corr. Rivas-Martínez, Cantó, Fernández-González, J.A. Molina, Pizarro & Sánchez-Mata 1999"
"49.03","Teesdaliopsio-Luzulion caespitosae","Rivas-Martínez 1987"
"49.03.01","Armerio cantabricae-Juncetum trifidi","F. Prieto, J. Guitián & Amigo 1987"
"49.03.02","Jasiono brevisepalae-Festucetum curvifoliae","M.E. García, L. Herrero, T.E. Díaz, Penas & F. Salegui 2002"
"49.03.03","Jasiono centralis-Minuartietum juressi","Rivas-Martínez 1981"
"49.03.04","Junco trifidi-Oreochloetum blankae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"49.03.05","Teesdaliopsio confertae-Festucetum eskiae","F. Prieto 1983"
"49.03.06","Teesdaliopsio confertae-Festucetum summilusitanae","F. Prieto 1983 corr. Rivas-Martínez 1987"
"49.04","Armerion eriophyllae","P. Silva 1965"
"49.04.01","Arenario fontqueri-Armerietum langei","Aguiar, Penas & Lousã 1998"
"49.04.02","Armerietum eriophyllae","P. Silva 1965"
"49.04.03","Sagino merinoi-Plantaginetum radicatae","J. Rodríguez & Ortiz 1991"
"49.05","Hieracio castellani-Plantaginion radicatae","Rivas-Martínez & Cantó 1987"
"49.05.01","Arenario querioidis-Festucetum summilusitanae","Rivas-Martínez, Sánchez-Mata & Fuente in Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"49.05.02","Armerio transmontanae-Plantaginetum radicatae","Aguiar 2002"
"49.05.03","Corynephoro canescentis-Leucanthemopsietum pulverulentae","Ladero, T.E. Díaz, Penas, Rivas-Martínez & C. Valle 1987"
"49.05.04","Diantho langeani-Festucetum rivas-martinezii","Penas, Puente, R. Alonso, A. Fernández, Lenze, Del Rio & F. Salegui 2002"
"49.05.05","Diantho laricifolii-Petrorhagietum saxifragae","Capelo, Aguiar, Penas, J.C. Costa & Lousã 1998"
"49.05.06","Diantho merinoi-Plantaginetum radicatae","Penas & T.E. Díaz 1985"
"49.05.07","Hieracio castellani-Festucetum curvifoliae","Rivas-Martínez & Cantó 1987 corr. Rivas-Martínez, Cantó, Fernández-González, J.A. Molina, Pizarro & Sánchez-Mata 1999"
"49.05.08","Minuartio recurvae-Silenetum acutifoliae","Pulgar, Ortiz & J. Rodríguez 1996"
"49.05.09","Plantagini radicatae-Armerietum odoratae","Pulgar, Ortiz & J. Rodríguez 1996"
"49.05.10","Plantagini radicatae-Festucetum indigestae","Martínez-Parras, Peinado & Alcaraz 1987"
"49.05.11","Potentillo velutinae-Leucanthemopsietum assoi","Rivas-Martínez & G. López in G. López 1978"
"49.05.12","Sclerantho perennis-Corynephoretum canescentis","Vigo 1968"
"49.05.13","Sclerantho perennis-Plantaginetum radicatae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"49.05.14","Thymo zygidis-Plantaginetum radicatae","Rivas-Martínez & Cantó 1987 corr. Rivas-Martínez, Fernández-González, Sánchez-Mata & Pizarro 1990"
"50","Helianthemetea guttati","(Br.-Bl. in Br.-Bl., Roussine & Nègre 1952) Rivas Goday & Rivas-Martínez 1963 em. Rivas-Martínez 1978"
"50.01","Helianthemion guttati","Br.-Bl., in Br.-Bl., Molinier & Wagner 1940"
"50.01.01","Airo praecocis-Radioletum linoidis","Rivas Goday 1958"
"50.01.02","Anthoxantho aristati-Micropyretum patentis","Belmonte & Sánchez-Mata in Sánchez-Mata 1989"
"50.01.03","Anthyllido lusitanicae-Tuberarietum guttatae","Aguiar & Penas 2002"
"50.01.04","Helianthemetum guttati","Br.-Bl. in Br.-Bl., Molinier & Wagner 1940"
"50.01.05","Helianthemo guttati-Ophioglossetum lusitanici","Br.-Bl. in Br.-Bl., Molinier & Wagner 1940"
"50.01.06","Holco setiglumis-Anthoxanthetum aristati","Rivas Goday 1958"
"50.01.07","Hypochoerido glabrae-Tuberarietum guttatae","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"50.01.08","Linario cirrhosae-Helianthemetum guttati","O. Bolòs, Molinier & P. Montserrat 1970"
"50.01.09","Logfio minimae-Cerastietum gracilis","A. Valdés, R. Molina & J.L. González 1992"
"50.01.10","Lupino rothmaleri-Ornithopetum isthmocarpae","Rivas Goday 1958"
"50.01.11","Moenchio erectae-Vulpietum muralis","Franquesa 1995"
"50.01.12","Paronychio cymosae-Pterocephaletum diandri","Rivas Goday 1958 corr. Rivas-Martínez 1978"
"50.01.13","Periballio minutae-Airopsietum tenellae","Rivas Goday 1956"
"50.01.14","Plantagini loeflingii-Prolongoetum pectinatae","T.E. Díaz & Penas 1984"
"50.01.15","Scillo autumnalis-Ophioglossetum lusitanici","Ballesteros Brion. 1984"
"50.01.16","Sedo-Aphanetum cornucopioidis","Molero 1984"
"50.01.17","Senecioni minuti-Linarietum amethysteae","López Vélez & Alcaraz in López Vélez 1996"
"50.01.18","Senecioni minuti-Prolongoetum pectinatae","Rivas Goday 1958"
"50.01.19","Trifolio cherleri-Plantaginetum bellardii","Rivas Goday 1958"
"50.01.20","Vulpio myuri-Gnaphalietum teydei","Wildpret & O. Rodríguez in Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993"
"50.01.21","Polycarpo alsinifolii-Crassuletum campestris","Franquesa 1995"
"50.01.22","Sedetum caespitoso-andegavensis","Franquesa 1995"
"50.01.23","Sedo caespitosi-Tillaeetum muscosae","Rivas Goday 1958"
"50.02","Thero-Airion","Tüxen & Oberdorfer 1958 em. Rivas-Martínez 1978"
"50.02.01","Airo caryophylleae-Scleranthetum polycarpi","O. Bolòs 1954"
"50.02.02","Asterolino lino-stellati-Rumicetum bucephalophori","T.E. Díaz & F. Navarro 1978"
"50.02.03","Filagini minimae-Airetum praecocis","Wattez, Géhu & De Foucault 1978"
"50.02.04","Galio parisiensis-Logfietum minimae","Izco & Ortiz 1985"
"50.02.05","Leontodonto longirostris-Ornithopodetum perpusilli","Capelo, J.C. Costa, Lousã, Fontinha, Jardim, Sequeira & Rivas-Martínez 2000"
"50.02.06","Petrorhagio-Trifolietum arvensis","T.E. Díaz & F. Navarro 1978"
"50.02.07","Vulpio myuri-Trifolietum arvensis","Susplugas 1942"
"50.03","Molinerion laevis","Br.-Bl., P. Silva, Rozeira & Fontes 1952"
"50.03.01","Arenario-Cerastietum ramosissimi","Br.-Bl., P. Silva, Rozeira & Fontes 1952"
"50.03.02","Astero aragonensis-Agrostietum truncatulae","Rivas Goday 1958"
"50.03.03","Hispidello hispanicae-Tuberarietum guttatae","Rivas-Martínez, Fernández-González, Sánchez-Mata & Pizarro 1990"
"50.03.04","Holcetum gayani","Rivas-Martínez, Fernández-González, Sánchez-Mata & Sardiero 2002"
"50.03.05","Ctenopsietum delicatulae","Sardinero, Fernández-González & Sánchez-Mata 2002"
"50.03.06","Triseto ovati-Agrostietum truncatulae","Rivas Goday 1958"
"50.04","Sedion pedicellato-andegavensis","Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"50.04.01","Agrostio truncatulae-Sedetum lusitanici","Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"50.04.02","Airo praecocis-Sedetum arenarii","Izco, J. Guitián & Amigo 1986"
"50.04.03","Chamaemelo fuscati-Sedetum andegavensis","Rivas Goday ex Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"50.04.04","Evaco carpetanae-Sedetum andegavensis","Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"50.04.05","Minuartio dichotomae-Sedetum andegavensis","A. Velasco 1983"
"50.04.06","Polytricho piliferi-Sedetum pedicellati","Rivas-Martínez in Rivas-Martínez, Fernández-González & Sánchez-Mata 1986"
"50.04.07","Sedetum caespitoso-arenarii","Rivas-Martínez ex Fuente 1986"
"50.05","Corynephoro-Malcolmion patulae","Rivas Goday 1958"
"50.05.01","Anthyllido hamosae-Malcolmietum patulae","Rivas Goday 1958"
"50.05.02","Loeflingio hispanicae-Malcolmietum patulae","Rivas Goday 1958"
"50.05.03","Loeflingio micranthae-Erodietum aethiopici","Rivas Goday 1958"
"50.06","Anthyllido hamosae-Malcolmion lacerae","Rivas Goday 1958 em. Rivas-Martínez 1978"
"50.06.01","Corynephoro macrantheri-Arenarietum algarbiensis","P. Silva & Teles ex Rivas-Martínez & Izco 2002"
"50.06.02","Hymenostemmo pseudanthemidis-Arenarietum emarginatae","Rivas Goday 1958"
"50.06.03","Linario donyanae-Loeflingietum baeticae","Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"50.06.04","Malcolmio lacerae-Anthyllidetum hamosae","Rivas Goday 1958"
"50.06.05","Tolpido barbatae-Tuberarietum bupleurifoliae","J.C. Costa, Lousã & Espírito-Santo 1997"
"50.07","Alkanno-Maresion nanae","Rivas Goday ex Rivas Goday & Rivas-Martínez 1963 corr. Díez-Garretas, Asensi & Rivas-Martínez 2001"
"50.07.01","Chaenorhino formenterae-Silenetum cambessedesii","Rivas-Martínez, Costa & Loidi 1992"
"50.07.02","Desmazerio marinae-Medicaginetum inermis","Curcó 1990"
"50.07.03","Erodio laciniati-Maresietum nanae","Rivas Goday 1958 corr. Costa, Díez-Garretas, P. Soriano & Pérez-Badia in Pérez-Badia 1997"
"50.07.04","Laguro ovati-Silenetum balearicae","* 2002"
"50.07.05","Malcolmio ramosissimae-Vulpietum membranaceae","O. Bolòs, Molinier & P. Montserrat 1970"
"50.07.06","Vulpiello tenuis-Cutandietum maritimae","Rivas-Martínez, Costa & Loidi 1992"
"50.07.07","Wahlenbergio nutabundae-Loeflingietum pentandrae","Alcaraz, Díez-Garretas & Asensi in Ferre, Díez-Garretas & Asensi 1985"
"50.08","Linarion pedunculatae","Díez-Garretas, Asensi & Esteve in Díez-Garretas 1984"
"50.08.01","Herniario algarbicae-Linarietum ficalhoanae","Díez-Garretas 1984"
"50.08.02","Triplachno nitentis-Silenetum ramosissimae","Peinado, Martínez-Parras, Alcaraz, Garre & Cruz 1985"
"50.08.03","Violo henriquesii-Silenetum littoreae","Izco, P. & J. Guitián 1988"
"50.09","Ononidion tournefortii","Géhu, Biondi, Géhu-Franck, Hendoux & Mossa 1996"
"50.09.01","Ononido tournefortii-Cyperetum capitati","Wildpret, Del Arco & Acebes in Del Arco, Acebes & Wildpret 1983"
"50.10","Stipion retortae","Br.-Bl. & O. Bolòs 1954 em. Izco 1975"
"50.10.01","Ammochloo palestinae-Linarietum nigricantis","Mota, Cabello, Gómez-Mercado & Peñas 1993"
"50.10.02","Campanulo erini-Bellidetum microcephalae","Alcaraz, P. Sánchez & De la Torre 1987"
"50.10.03","Eryngio ilicifolii-Plantaginetum ovatae","Esteve 1973"
"50.10.04","Iflogo spicatae-Silenetum adscendentis","Mota, Cabello, Gómez-Mercado & Peñas 1993"
"50.10.05","Irido-Stipetum retortae","O. Bolòs & Molinier 1958"
"50.10.06","Leysero leyseroidis-Rumicetum gallici","Alcaraz, Ríos, De la Torre, Delgado & Inocencio 1998"
"50.10.07","Lygeo-Scorpiuretum sulcati","O. Bolòs 1957"
"50.10.08","Plantagini amplexicaulis-Stipetum retortae","O. Bolòs 1956"
"50.10.09","Scillo autumnalis-Narcissetum serotini","F. Casas 1970"
"50.10.10","Spergulo fallacis-Plantaginetum ovatae","Dana, L. Rodríguez & Mota 1999"
"50.10.11","Stipo capensis-Diplotaxietum lagascanae","Alcaraz, Ríos, De la Torre, Delgado & Inocencio 1998"
"50.11","Sedo-Ctenopsion gypsophilae","Rivas Goday & Rivas-Martínez ex Izco 1974"
"50.11.01","Chaenorhino reyesii-Campanuletum fastigiatae","Rivas-Martínez & Izco in Izco 1974 corr. Alcaraz, Ríos, De la Torre, Delgado & Inocencio 1998"
"50.11.02","Campanulo fastigiatae-Chaenorhinetum rupestris","Alcaraz, Ríos, De la Torre, Delgado & Inocencio 1998"
"50.11.03","Ctenopsio gypsophilae-Linarietum amethysteae","Izco, A. Molina & Fernández-González 1986"
"50.11.04","Plantagini ovatae-Chaenorhinetum grandiflori","Lázaro & Asensi 1986"
"50.12","Omphalodion commutatae","Rivas-Martínez, Izco & Costa ex Izco 1976 corr. Pérez-Raya, Molero & J. López 1991"
"50.12.01","Arenario arundanae-Linarietum salzmannii","Asensi, Díez-Garretas & Esteve 1979 corr. Rivas-Martínez, Asensi, Molero & F. Valle 1991"
"50.12.02","Arenario capillipedis-Iberidetum fontqueri","Rivas-Martínez, Izco & Costa ex Izco 1976"
"50.12.03","Arenario modestae-Linarietum angustealatae","Pérez-Raya in Pérez-Raya, Molero & J. López 1991"
"50.12.04","Jasiono penicillatae-Linarietum saturejoidis","Rivas-Martínez, Izco & Costa ex Izco 1976"
"50.12.05","Violo demetriae-Jonopsidietum prolongoi","Asensi, Díez-Garretas & Esteve 1979"
"50.13","Trachynion distachyae","Rivas-Martínez 1978"
"50.13.01","Airo cupanianae-Chaenorhinetum formenterae","O. Bolòs & Molinier 1984"
"50.13.02","Arenarietum viridis","O. Bolòs 1967"
"50.13.03","Brachyapio dichotomi-Callipeltetum cucullaris","Izco, A. Molina & Fernández-González 1986"
"50.13.04","Bupleuro baldensis-Arenarietum ciliaris","Izco, A. Molina & Fernández-González 1986"
"50.13.05","Campanulo kremeri-Galietum verticillati","Esteve 1968"
"50.13.06","Cerastietum pumili","Oberdorfer & Müller in Müller 1961"
"50.13.07","Clypeolo jonthlaspi-Psiluretum incurvi","C. Casas, Guàrdia & Ninot 1989"
"50.13.08","Echinario capitatae-Wangenheimietum limae","A. Velasco 1983"
"50.13.09","Erodio-Arenarietum conimbricensis","A. & O. Bolòs 1950"
"50.13.10","Euphorbietum acuminato-merinoi","Aguiar & Penas 2002"
"50.13.11","Jonopsidio prolongoi-Hornungietum petraeae","Torres & Cano in Torres, A. García, Salazar & Cano 2001"
"50.13.12","Minuartio hybridae-Saxifragetum tridactylitae","T.E. Díaz & Penas 1984"
"50.13.13","Saxifrago tridactylitae-Hornungietum petraeae","Izco 1974"
"50.13.14","Saxifrago-Sedetum stellati","O. Bolòs & Molinier 1958"
"50.13.15","Sedo caespitosi-Aphanetum cornucopioidis","Molero Brion. 1984"
"50.13.16","Sileno psammitis-Linarietum aragonensis","Esteso & Peris 1991"
"50.13.17","Teucrio botryos-Arenarietum hispanicae","Romo 1989"
"50.13.18","Teucrio botryos-Nepetetum braunblanquetii","O. Bolòs 1973"
"50.13.19","Velezio rigidae-Asteriscetum aquatici","Rivas Goday 1964"
"50.13.20","Vulpio unilateris-Minuartietum campestris","Mayoral 1988"
"51","Festuco-Brometea","Br.-Bl. & Tüxen ex Br.-Bl. 1949"
"51.01","Potentillo montanae-Brachypodion rupestris","Br.-Bl. 1967"
"51.01.01","Alchemillo flavellatae-Festucetum nigrescentis","Vigo 1982"
"51.01.02","Brachypodio rupestris-Seselietum cantabrici","Br.-Bl. 1967 corr. Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"51.01.03","Bromo erecti-Caricetum brevicollis","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"51.01.04","Bromo erecti-Cirsietum tuberosi","O. Bolòs 1967"
"51.01.05","Bromo erecti-Medicaginetum suffruticosae","P. Montserrat 1960"
"51.01.06","Calamintho acini-Seselietum montani","Br.-Bl. 1967"
"51.01.07","Helianthemo cantabrici-Brometum erecti","J. Guitián, Izco & Amigo 1989"
"51.01.08","Potentillo splendentis-Koelerietum pyramidatae","Chouard 1943"
"51.01.09","Teucrio pyrenaici-Potentilletum splendentis","Br.-Bl. 1967"
"51.01.10","Antennario dioicae-Festucetum commutatae","O. Bolòs 1983"
"51.01.11","Astragalo danici-Agrostietum tenuis","Rivas Goday & Borja 1961"
"51.01.12","Aveno pratensis-Potentilletum montanae","O. Bolòs 1954"
"51.01.13","Carlino-Brachypodietum rupestris","O. Bolòs 1957 corr. Rivas-Martínez & Costa 1998"
"51.01.14","Centaureo amarae-Genistetum tinctoriae","X. Font 1992"
"51.01.15","Chamaespartio sagittalis-Agrostietum tenuis","Vigo 1982"
"51.01.16","Galio idubedae-Brometum erecti","G. Navarro & J.A. Molina 2002"
"51.01.17","Gentiano acaulis-Potentilletum montanae","J.M. Montserrat 1986"
"51.01.18","Helianthemo tomentosi-Festucetum ovinae","O. Bolòs & Masalles in O. Bolòs 1983"
"51.01.19","Koelerio pyramidatae-Trifolietum molinieri","Franquesa 1995"
"51.01.20","Phyteumo orbicularis-Festucetum nigrescentis","Carreras, Carrillo, Masalles, Ninot & Vigo 1993"
"51.01.21","Pulsatillo hispanicae-Chamaespartietum sagittalis","Mayor, Andrés & Martínez 1970"
"51.01.22","Cirsio microcephalae-Onobrychidetum hispanicae","Rivas Goday & Borja 1961 corr. Rivas-Martínez, Fernández-González & Loidi 1999"
"51.02","Teucrio pyrenaici-Bromion erecti","Rivas-Martínez, Fernández-González & Loidi 1999"
"51.02.01","Adonido-Brometum erecti","X. Font in Carreras, Carrillo, X. Font, Ninot & Vigo 1983"
"51.02.02","Aphyllantho-Plantaginetum mediae","O. Bolòs (1948) 1956"
"51.02.03","Aphyllantho-Seslerietum calcareae","O. Bolòs 1976"
"51.02.04","Lino viscosi-Brometum erecti","Vigo 1979"
"51.02.05","Stipo eriocaulis-Teucrietum montani","X. Font & Vigo in X. Font 1993"
"51.02.06","Teucrio pyrenaici-Brometum erecti","Vigo 1979"
"51.03","Brachypodion phoenicoidis","Br.-Bl. ex Molinier 1934"
"51.03.01","Brachypodietum phoenicoidis","Br.-Bl. 1924"
"51.03.02","Elytrigio campestris-Brachypodietum phoenicoidis","Rivas-Martínez & Izco 2002"
"51.03.03","Festuco arundinaceae-Brachypodietum phoenicoidis","Martínez-Parras & Peinado 1983"
"51.03.04","Festuco andres-molinae-Brachypodietum phoenicoidis","Rivas Goday & Borja 1961"
"51.03.05","Hyperico perfoliati-Brachypodietum phoenicoidis","O. Bolòs, Molinier & P. Montserrat 1970"
"51.03.06","Lathyro tremolsiani-Brachypodietum phoenicoidis","Costa, Peris & Stübing 1985"
"51.03.07","Mantisalco salmanticae-Brachypodietum phoenicoidis","Rivas Goday & Borja 1961"
"51.03.08","Phlomido lychnitidis-Brachypodietum phoenicoidis","Br.-Bl., P. Silva & Rozeira 1956"
"51.04","Artemisio albae-Dichanthion ischaemi","X. Font ex Rivas-Martínez & M.L. López 2002"
"51.04.01","Achilleo odoratae-Bothriochloetum ischaemi","Vigo 1968"
