"Código","Nombre oficial","Autor"
"10.02.13","Scirpo fluitantis-Juncetum heterophylli","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980"
"10.03","Eleocharition acicularis","Pietsch 1967"
"10.03.01","Elatino macropodae-Eleocharitetum acicularis","Cirujano, Pascual & Velayos 1986"
"10.03.02","Littorello-Eleocharitetum acicularis","Jouanne 1925"
"11","Montio-Cardaminetea","Br.-Bl. & Tüxen ex Br.-Bl. 1948"
"11.01","Cardamino-Montion","Br.-Bl. 1926"
"11.01.01","Montietum fontanae","Br.-Bl. 1915"
"11.01.02","Montio-Bryetum schleicheri","Br.-Bl. 1926"
"11.01.03","Philonotido fontanae-Montietum rivularis","Büker & Tüxen in Büker 1942"
"11.01.04","Saxifragetum aquaticae","Br.-Bl. 1948"
"11.02","Cratoneurion commutati","Koch 1928"
"11.02.01","Cochleario pyrenaicae-Cratoneuretum commutati","Oberdorfer ex Müller 1961"
"11.02.02","Cratoneuretum falcati","Gams 1927"
"11.02.03","Cratoneuro filicini-Anagallidetum tenellae","Ríos & Alcaraz 2002"
"11.03","Caricion remotae","Kästner 1941"
"11.03.01","Cardamino flexuosae-Chrysosplenietum oppositifolii","O. Bolòs 1979"
"11.03.02","Cardaminetum latifoliae","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952"
"11.03.03","Caricetum remotae","(Kästner 1941) Schwickerath 1944"
"11.03.04","Chrysosplenio oppositifolii-Sibthorpietum europeae","De Foucault 1981"
"11.03.05","Saxifragetum lepismigenae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
"11.03.06","Saxifrago clusii-Soldanelletum villosae","Allorge ex Aizpuru & Catalán 1987"
"11.03.07","Stellario uliginosae-Montietum variabilis","De Foucault 1981"
"11.04","Myosotidion stoloniferae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984"
