"Código","Denominación","Observaciones"
"G.02","Instalaciones deportivas y de ocio",""
"G.02.01","Pistas de golf",""
"G.02.02","Pistas de esquí",""
"G.02.03","Estadios",""
"G.02.04","Circuitos y pistas",""
"G.02.05","Hipódromos",""
"G.02.06","Parques de atracciones",""
"G.02.07","Polideportivos",""
"G.02.08","Campings y caravanas",""
"G.02.09","Avistamiento de animales","e.g. avistamiento de aves, avistamiento de ballenas"
"G.02.10","Otros deportes/ instalaciones de ocio",""
"G.03","Centros de interpretación",""
"G.04","Ocupación militar y desorden civil",""
"G.04.01","Maniobras militares",""
"G.04.02","Deshabilitación de la zona de ocupación militar",""
"G.05","Otros trastornos e intrusiones humanas",""
"G.05.01","Pisoteo, uso excesivo",""
"G.05.02","Daños mecánicos por contacto con buceadores","e.g. sufridos por los organismos generadores de la estructura tridimensional de los arrecifes"
"G.05.03","Daños mecánicos producidos por el anclaje y amarre","e.g. arrecifes,  praderas de posidonia "
"G.05.04","Vandalismo",""
"G.05.05","Mantenimiento de parques públicos/ limpieza de playas",""
"G.05.06","Cuidado de árboles, poda de árboles para la seguridad pública, eliminación de árboles en línea con la carretera",""
"G.05.07","Ausencia o mala gestión de medidas de conservación ",""
"G.05.08","Cierre de cuevas y galerías",""
"G.05.09","Vallas, cercados",""
"G.05.10","Sobrevuelo en avioneta (uso agrícola)",""
"G.05.11","Muerte o daño por colisión","e.g. mamíferos marinos"
"H","Contaminación",""
"H.01","Contaminación de aguas superficiales ",""
"H.01.01","Contaminación de aguas superficiales por naves industriales",""
"H.01.02","Contaminación de aguas superficiales por desbordamientos producidos por tormentas","La Directiva Marco del Agua cataloga desbordamientos por tormentas como fuente puntual y difusa."
"H.01.03","Otras fuentes puntuales de contaminación de aguas superficiales",""
"H.01.04","Contaminación difusa de aguas superficiales a través de desbordamientos causados por tormentas o a través de la escorrentía urbana",""
"H.01.05","Contaminación difusa de aguas superficiales causada por actividades agrícolas y forestales",""
"H.01.06","Contaminación difusa de aguas superficiales causada por la red de transportes y por las infraestructuras sin conexión a canalizaciones/  máquinas barrenderas",""
"H.01.07","Contaminación difusa de aguas superficiales causada por el abandono de polígonos industriales",""
"H.01.08","Contaminación difusa de aguas superficiales causada por aguas de uso doméstico y aguas residuales","Directiva Marco del Agua: ¿Emisiones procedentes de instalaciones para el almacenamiento y / o tratamiento de aguas residuales domésticas en zonas sin redes de alcantarillado¿"
"H.01.09","Contaminación difusa de aguas superficiales causada por otras fuentes no mencionadas anteriormente",""
